symbol,unit_cost,shares,currency,market,client,platform,note,link
FLY,27.70,37,USD,US,true,,,https://au.finance.yahoo.com/quote/FLY/
LAES,2.73,1100,USD,US,true,,,https://au.finance.yahoo.com/quote/LAES/
LAES,2.73,634,USD,US,true,,,https://au.finance.yahoo.com/quote/LAES/
PTIR,12.41,165,USD,US,true,,,https://au.finance.yahoo.com/quote/PTIR/
RDW,9.32,162,USD,US,true,,,https://au.finance.yahoo.com/quote/RDW/
BABA,74.20,80,USD,US,false,,,https://au.finance.yahoo.com/quote/BABA/
6488.TWO,443.63,156,TWD,Taiwan,true,,,https://au.finance.yahoo.com/quote/6488.TWO/
6634.TWO,51.65,6000,TWD,Taiwan,false,,,https://au.finance.yahoo.com/quote/6634.TWO/
4977.TW,240.76,413,TWD,Taiwan,true,,,https://au.finance.yahoo.com/quote/4977.TW/
6451.TW,215.15,550,TWD,Taiwan,false,,,https://au.finance.yahoo.com/quote/6451.TW/
6451.TW,199.97,623,TWD,Taiwan,false,,,https://au.finance.yahoo.com/quote/6451.TW/
SIVE.ST,28.10,1078,SEK,Sweden,false,,,https://au.finance.yahoo.com/quote/SIVE.ST/
LPK.DE,17.07,115,EUR,Germany,false,,,https://au.finance.yahoo.com/quote/LPK.DE/
IQE.L,71.24,1250,GBp,UK,false,,,https://au.finance.yahoo.com/quote/IQE.L/
VITL,13.41,450,USD,US,false,,,https://au.finance.yahoo.com/quote/VITL/
VITL,13.78,94,USD,US,false,,,https://au.finance.yahoo.com/quote/VITL/
ADBE,237.51,7,USD,US,false,,,https://au.finance.yahoo.com/quote/ADBE/
NVO,48.72,120,USD,US,false,,,https://au.finance.yahoo.com/quote/NVO/
PFE,24.52,150,USD,US,false,,,https://au.finance.yahoo.com/quote/PFE/
OXY,38.00,85,USD,US,false,,,https://au.finance.yahoo.com/quote/OXY/
OXY,49.58,155,USD,US,false,,,https://au.finance.yahoo.com/quote/OXY/
USAR,32.04,25,USD,US,false,,,https://au.finance.yahoo.com/quote/USAR/
